Rank,Title,Author,Rating,Number of Ratings,Date,Description,Reviews,Pages,Cover Type,Score,Genres
13,Wuthering Heights,Emily Brontë,3.89,"1,868,574","First published December 1, 1847",At the centre of this novel is the passionate love between Catherine Earnshaw and Heathcliff - recounted with such emotional intensity that a plain tale of the Yorkshire moors acquires the depth and simplicity of ancient tragedy.,"66,191",464,Paperback,"1,181,574","Classics, Fiction, Gothic, Historical Fiction, Literature, Historical, 19th Century"
9,"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,4.28,"668,569","First published January 1, 1956","Journeys to the end of the world, fantastic creatures, and epic battles between good and evil—what more could any reader ask for in one book? The book that has it all is ","12,868",767,Paperback,"1,462,425","Fantasy, Classics, Fiction, Young Adult, Childrens, Christian, Middle Grade"
15,The Perks of Being a Wallflower,Stephen Chbosky,4.23,"1,855,549","First published February 1, 1999",standing on the fringes of life...,"96,363",213,Paperback,"1,108,544","Young Adult, Fiction, Classics, Coming Of Age, Romance, Mental Health, Realistic Fiction"
1,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.34,"8,980,065","First published September 14, 2008","In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. The Capitol is harsh and cruel and keeps the districts in line by forcing them all to send one boy and one girl between the ages of twelve and eighteen to participate in the annual Hunger Games, a fight to the death on live TV.","225,680",374,Hardcover,"3,918,306","Young Adult, Fiction, Fantasy, Science Fiction, Audiobook, Teen, Post Apocalyptic"
10,The Fault in Our Stars,John Green,4.13,"5,309,434","First published January 10, 2012","Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.","181,775",313,Hardcover,"1,351,602","Young Adult, Fiction, Contemporary, Realistic Fiction, Teen, Coming Of Age, Novels"
11,The Picture of Dorian Gray,Oscar Wilde,4.13,"1,619,365","First published June 1, 1890",Oscar Wilde’s only novel is the dreamlike story of a young man who sells his soul for eternal youth and beauty.,"77,099",272,Paperback,"1,258,538","Classics, Fiction, Horror, Fantasy, Gothic, Literature, Novels"
14,Gone with the Wind,Margaret Mitchell,4.31,"1,234,182","First published June 30, 1936","Scarlett O'Hara, the beautiful, spoiled daughter of a well-to-do Georgia plantation owner, must use every means at her disposal to claw her way out of the poverty she finds herself in after Sherman's March to the Sea.","25,560",1037,Mass Market Paperback,"1,172,557","Historical Fiction, Fiction, Romance, Classics, Historical, Literature, War"
12,The Giving Tree,Shel Silverstein,4.38,"1,158,557","First published January 1, 1964","""Once there was a tree...and she loved a little boy.""","22,798",64,Hardcover,"1,189,585","Childrens, Classics, Fiction, Picture Books, Poetry, Young Adult, Fantasy"
5,The Book Thief,Markus Zusak,4.39,"2,651,951","First published September 1, 2005","It is 1939. Nazi Germany. The country is holding its breath. Death has never been busier, and will be busier still.","149,348",592,Kindle Edition,"1,850,064","Historical Fiction, Fiction, Young Adult, Classics, Historical, War, World War II"
7,Animal Farm,George Orwell,3.99,"4,045,300","First published August 17, 1945","A farm is taken over by its overworked, mistreated animals. With flaming idealism and stirring slogans, they set out to create a paradise of progress, justice, and equality. Thus the stage is set for one of the most telling satiric fables ever penned –a razor-edged fairy tale for grown-ups that records the evolution from revolution against tyranny to a totalitarianism just as terrible. ","103,709",141,Mass Market Paperback,"1,586,615","Fiction, Dystopia, Fantasy, School, Literature, Science Fiction, Novels"
